t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
365,94088.68,NoAction,0;0;0;0;0;0;0;0,94088.68,477508.09,479801.57,95961.49
365,95849.92,SprayTrees,0.6;0.246,95849.92,-47858.18,479800.09,95960.02
365,95857.4,SprayTrees,0.7;0.246,95857.4,-9913.3,479800.09,95960.02
365,95856.46,SprayTrees,0.8;0.246,95856.46,213232.69,479800.09,95960.02
365,95855.63,SprayTrees,0.9;0.246,95855.63,479111.99,479800.09,95960.02
365,94233.9227,NoActionOTC,0.8;0.245,94233.9227,-581135.9833,469654.97,95930.99
365,94133.6609,NoActionOTC,0.9;0.245,94133.6609,-486954.1618,465654.97,95930.99
365,94224.2362,NoActionOTC,0.76;0.245,94224.2362,-377366.6073,459654.97,95930.99
365,94155.1429,NoActionOTC,0.78;0.245,94155.1429,-266680.8874,479654.97,95930.99
365,94190.8117,NoActionOTC,0.79;0.245,94190.8117,-154546.8812,479654.97,95930.99
365,94233.9227,NoActionOTC,0.55;0.245,94233.9227,-611669.5033,479654.97,95930.99
365,94133.6609,NoActionOTC,0.56;0.245,94133.6609,-515216.8918,479654.97,95930.99
365,94224.2362,NoActionOTC,0.57;0.245,94224.2362,-400986.8673,479654.97,95930.99
365,94155.1429,NoActionOTC,0.58;0.245,94155.1429,-286303.1674,479654.97,95930.99
365,94190.8117,NoActionOTC,0.59;0.245,94190.8117,-167045.7512,479654.97,95930.99
365,94233.9227,NoActionOTC,0.62;0.245,94233.9227,-642203.0233,479654.97,95930.99
365,94133.6609,NoActionOTC,0.63;0.245,94133.6609,-543479.6218,479654.97,95930.99
365,94224.2362,NoActionOTC,0.64;0.245,94224.2362,-424607.1273,479654.97,95930.99
365,94155.1429,NoActionOTC,0.65;0.245,94155.1429,-305925.4474,479654.97,95930.99
365,94190.8117,NoActionOTC,0.66;0.245,94190.8117,-179544.6212,479654.97,95930.99
365,94154.1666,NoActionOTC,0.67;0.245,94154.1666,-581949.8625,479578.72,95915.74
365,94127.5911,NoActionOTC,0.72;0.245,94127.5911,-484782.6272,479578.72,95915.74
365,94110.3133,NoActionOTC,0.73;0.245,94110.3133,-381019.7305,479578.72,95915.74
365,94175.9572,NoActionOTC,0.74;0.245,94175.9572,-266745.6859,479578.72,95915.74
365,94083.9291,NoActionOTC,0.75;0.245,94083.9291,-157314.8844,479578.72,95915.74
365,94154.1666,NoActionOTC,0.76;0.245,94154.1666,-612469.9125,479578.72,95915.74
365,94127.5911,NoActionOTC,0.77;0.245,94127.5911,-512990.6372,479578.72,95915.74
365,94110.3133,NoActionOTC,0.78;0.245,94110.3133,-404753.6905,479578.72,95915.74
