t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
365,88143.375,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.9;0.246,88143.375,438656.198,,
365,88143.375,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.9;0.246,88143.375,437625.8595,,
365,88143.375,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.9;0.246,88143.375,435240.9976,,
365,88121.52949,SprayTrees,0.9;0.246,88121.52949,407335.4938,,
365,87122.3064,SprayTrees,0.8;0.246,87122.3064,366090.423,,
365,87113.03651,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.8;0.246,87113.03651,432856.1356,,
365,87113.03651,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.8;0.246,87113.03651,431501.6121,,
365,87113.03651,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.8;0.246,87113.03651,430086.367,,
365,85758.51302,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.7;0.246,85758.51302,428671.122,,
365,85758.51302,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.7;0.246,85758.51302,428610.4004,,
365,85758.51302,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.7;0.246,85758.51302,421486.5173,,
365,85698.09072,SprayTrees,0.7;0.246,85698.09072,357507.7156,,
365,85697.79144,RogueTrees-SprayTrees,105;0;3;0.0545;0.4;0.7;0.246,85697.79144,415135.4042,,
365,85697.79144,RogueTrees-SprayTrees,105;0;6;0.0545;0.4;0.7;0.246,85697.79144,409617.7827,,
365,85697.79144,RogueTrees-SprayTrees,105;0;9;0.0545;0.4;0.7;0.246,85697.79144,386431.6291,,
365,80321.45939,RogueTrees,105;0;3;0.0545;0.1,80321.45939,401562.149,,
365,80321.45939,RogueTrees,105;0;6;0.0545;0.1,80321.45939,401539.575,,
365,80321.45939,RogueTrees,105;0;9;0.0545;0.1,80321.45939,401494.6369,,
365,80298.88542,RogueTrees,135;0;3;0.0545;0.4,80298.88542,401449.6987,,
365,80298.88542,RogueTrees,135;0;6;0.0545;0.4,80298.88542,401427.3345,,
365,80298.88542,RogueTrees,135;0;9;0.0545;0.4,80298.88542,401390.458,,
